programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,21CYM101T/EVS,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,21LEM101T/COI,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,21CYB101J/CHEMISTRY,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,21MES102L/EG,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,21MES102L/EG,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,21CYM101T/EVS,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21MES102L/EG,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21MES102L/EG,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,21LEM101T/COI,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21CYB101J/CHEMISTRY,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,21PDM102L/General Aptitude,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'F,ADMIN 502,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21CYM101T/EVS,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,21LEM101T/COI,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,21MES102L/EG,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21MES102L/EG,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,21CYB101J/CHEMISTRY,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21PDM102L/General Aptitude,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'G,ADMIN 503,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21CYB101J/CHEMISTRY,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21CYM101T/EVS,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,21LEM101T/COI,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,21MES102L/EG,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21MES102L/EG,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,21PDM102L/General Aptitude,
AIML,I Year,I/II/ AIML 'H,ADMIN 505,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,21CSC205P/DBMS,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21CSC204J/DAA,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21CSE251T/DIP,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,21MAB204T/PQT,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21CSC206T/AI,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21DCS201P / DTM,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21CSE251T/DIP,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21MAB204T/PQT,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21CSC205P/DBMS,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,21CSC206T/AI,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21CSC204J/DAA,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21MAB204T/PQT,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21PDM202L/CCTS,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,21CSC204J/DAA,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21CSC205P/DBMS,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,21CSC206T/AI,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,21CSE251T/DIP,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21CSC204J/DAA,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,21MAB204T/PQT,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,21PDH201T/SE,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,,
AIML,II Year,II/IV/AIML A,BMS 801,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,21CSC204J/DAA,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21CSC206T/AI,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21MAB204T/PQT,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,21CSE251T/DIP,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,
AIML,II Year,II/IV/AIML B,BMS 802,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
